carid,tradeTime,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,registerDate,licenseDate,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price
89,2021-04-12,26,72,87,3.42,1,1,1,0,5,2018-07-01,2019-11-05,779413,1,2018,1.5,12,1,12.88,5.95
90,2021-06-14,13,58,88,5.94,4,1,1,0,5,2015-05-01,2015-07-01,779416,2,2015,1.5,1,1,7.99,3.14
94,2021-06-12,25,60,92,7.97,1,1,1,1,5,2018-01-01,2018-02-22,779413,1,,1.6,17,1,7.79,5.5
102,2021-05-11,2,82,100,15.1,5,2,2,1,5,2008-04-01,2008-06-04,779415,2,2008,2.4,21,1,22.48,6
104,2021-05-27,8,83,102,3.98,1,3,1,0,5,2017-11-01,2018-02-09,779412,2,2018,1.8,16,1,26.88,17.4148
105,2021-05-29,8,8,103,2.52,1,3,1,0,5,2019-01-01,2019-02-01,779412,2,2019,1.5,6,1,8.48,5.275
106,2021-07-25,37,84,104,2.7,1,1,1,0,2,2019-09-01,2019-10-16,,,2020,1.5,10,1,10.99,4.2
108,2021-07-13,1,1,23,6.42,1,3,1,1,5,2017-12-01,2018-01-19,779413,1,2017,1.5,1,1,7.58,4.7
112,2021-07-04,28,87,108,8.61,2,1,1,0,5,2016-11-01,2018-01-04,779419,2,2016,2,3,1,15.98,8.2
114,2021-07-11,9,89,110,15.42,2,1,2,2,5,2009-11-01,2010-01-15,779413,1,2009,2,6,1,8.98,1.5
115,2021-06-11,5,90,111,6.67,2,3,1,2,5,2018-01-01,2018-08-15,779416,2,2018,1.5,16,1,25.98,14.5
117,2021-05-15,12,92,113,14.73,5,1,2,0,5,2009-03-01,2009-03-19,779415,2,2009,2.4,22,1,21.98,5.54
123,2021-07-08,15,98,119,7.11,6,3,1,0,5,2018-04-01,2018-08-17,779413,1,2016,1.5,16,1,13.68,5.6
124,2021-07-02,12,99,120,1.27,1,3,4,1,5,2020-04-01,2020-04-27,779415,2,2019,1.5,11,1,14.59,12
125,2021-07-08,28,100,121,10.5,1,3,2,1,5,2014-01-01,2014-02-10,779419,2,2014,2,3,1,21.28,6.3
131,2021-05-27,23,35,127,4.81,1,3,1,1,5,2017-11-01,2018-02-27,779419,2,2018,1.6,16,1,17.99,11.3
132,2021-07-22,33,104,128,11.43,6,1,2,1,5,2014-04-01,2014-05-14,779414,2,2013,1.6,3,1,21.47,5.9
133,2021-06-28,40,105,129,14.66,1,1,2,3,5,2008-03-01,2009-03-27,779416,2,2006,2.7,4,1,33.9,2.99
136,2021-05-20,8,108,132,1.12,2,2,4,0,5,2019-06-01,2019-09-02,779412,2,2019,2,7,1,28.28,17.6
138,2021-06-18,43,110,134,0.82,1,1,2,0,5,2016-08-01,2017-06-26,779417,2,2015,1.4,16,1,12.88,4.09
140,2021-06-05,18,45,136,11.67,7,3,2,0,5,2010-11-01,2012-02-07,779412,3,2011,3,13,1,67.76,16
144,2021-06-08,2,114,140,1.08,3,1,1,0,4,2019-04-01,2019-10-10,779415,3,2014,5.7,3,1,49,44.2
145,2021-05-06,7,115,141,19.96,5,1,2,0,5,2007-10-01,2007-11-13,779415,2,2007,1.6,6,1,8.58,1
148,2021-07-05,42,107,144,0.71,2,1,4,0,5,2020-11-01,2021-06-15,,,2020,4,13,1,184,210
149,2021-05-20,38,117,145,4.1,6,3,1,0,5,2018-01-01,2018-04-19,779421,3,2018,1.8,7,1,18.98,11.7
151,2021-04-14,4,4,147,3.67,9,3,1,0,4,2017-02-01,2017-06-08,779411,3,2016,1.5,3,1,23.38,16.28
156,2021-07-03,28,121,152,0.92,4,1,1,0,5,2017-09-01,2017-11-10,779419,2,2017,1.4,4,1,7.39,4.1
157,2021-05-29,25,122,153,4.98,1,3,2,0,5,2015-06-01,2015-12-07,779413,1,2014,1.4,6,1,6.09,2.35
158,2021-07-17,13,18,154,13.66,3,5,2,1,5,2011-03-01,2011-09-21,779416,2,2011,1.6,6,1,10.89,1.6
159,2021-05-09,32,123,155,2.45,1,3,2,0,5,2014-05-01,2014-11-24,779415,2,2013,1,4,1,5.99,2.8
162,2021-06-30,8,116,158,3.54,1,1,1,0,5,2017-09-01,2018-01-05,779412,2,2018,1.4,16,1,16.69,10.8
172,2021-05-04,2,134,168,6.03,1,3,1,0,5,2015-11-01,2015-12-15,779415,2,2016,1.6,2,1,12.48,6.98
173,2021-06-16,32,123,155,2.48,1,3,2,1,5,2014-05-01,2014-11-24,779415,2,2013,1,4,1,5.99,2.8
174,2021-06-09,32,123,169,8.65,3,5,2,1,5,2010-05-01,2010-06-03,779415,2,2009,1,6,1,4.99,0.65
175,2021-04-20,7,113,170,7.65,2,1,4,0,5,2019-12-01,2020-01-08,779415,2,2019,1.6,11,1,10.86,8.4
176,2021-07-10,8,135,171,3.08,1,3,1,0,5,2017-11-01,2018-03-17,779412,2,2016,1.6,9,1,10.39,6.8
177,2021-05-18,23,68,172,13.06,7,2,2,2,5,2010-04-01,2010-05-18,779419,2,2010,1.6,4,1,11.98,2.2
179,2021-05-23,23,56,174,5.45,1,2,1,0,5,2017-06-01,2018-02-06,779419,2,2017,1.6,16,1,16.98,9.64
180,2021-07-13,6,91,175,6.46,7,5,1,1,5,2017-12-01,2018-01-25,779413,1,2018,1.8,10,1,9.68,5.45
183,2021-07-27,10,138,178,1.77,1,5,4,0,5,2019-04-01,2019-08-27,779413,1,2019,1.5,6,1,7.49,3.8
185,2021-07-29,8,101,180,5.26,5,2,1,0,5,2018-03-01,2018-05-29,779412,2,2018,1.8,7,1,21.99,14.3
186,2021-06-17,23,56,82,10.22,1,5,1,0,5,2014-09-01,2014-10-13,779419,2,2014,1.8,3,1,15.98,6.2
188,2021-05-07,20,141,182,14.08,2,3,2,0,7,2014-10-01,2015-02-11,779412,3,2014,3,15,1,109.8,45.46
189,2021-06-20,27,142,183,11.25,5,1,2,1,5,2012-04-01,2012-08-24,779411,3,2012,2,3,1,62.8,14.5
190,2021-06-29,30,143,184,6.63,6,1,1,0,5,2016-05-01,2016-07-14,779418,2,2017,2,13,1,37.89,16.24
192,2021-07-30,28,145,186,27.92,5,2,2,0,5,2012-05-01,2012-08-20,779419,3,2012,2.2,3,3,23.48,4.6
195,2021-05-29,17,147,189,2.26,1,3,1,0,5,2017-12-01,2018-10-17,779413,1,2018,1.5,6,1,6.99,3.68
197,2021-06-08,8,14,191,15.19,5,1,2,2,5,2009-09-01,2009-09-28,779412,2,,1.6,3,1,14.78,2.24
198,2021-07-07,5,148,192,2.41,1,1,1,0,5,2017-08-01,2017-10-12,779416,2,2017,1.4,3,1,14.99,6.2
199,2021-05-11,8,101,193,7.51,5,1,2,0,5,2012-04-01,2012-08-03,779412,2,2012,1.8,16,1,23.28,8.2
202,2021-05-29,12,92,196,4.82,2,3,1,0,5,2018-07-01,2018-09-07,779415,2,2018,1.5,11,1,18.98,15.5
203,2021-07-30,47,150,197,11.52,5,1,2,0,5,2010-08-01,2010-08-31,779414,2,2011,1.6,17,1,11.88,1.79
204,2021-04-16,8,16,198,9.05,5,1,1,0,5,2016-03-01,2016-09-27,779412,2,2016,1.4,16,1,15.38,6.7
205,2021-07-05,9,151,199,1.85,1,3,2,0,5,2016-03-01,2016-03-24,779413,1,2016,1.5,6,1,6.89,2.8
208,2021-06-18,23,154,202,10.71,6,1,2,0,5,2013-12-01,2014-01-24,779419,2,2012,1.6,3,1,13.28,4.34
210,2021-07-25,23,156,204,5.85,5,2,2,0,5,2013-11-01,2014-01-17,779419,2,2010,1.4,4,1,8.69,3.4
212,2021-07-08,49,158,206,4.71,2,1,1,1,7,2016-06-01,2017-05-24,779416,3,2016,2.4,3,1,29.99,13.2
217,2021-04-11,33,162,211,7.61,5,1,2,0,5,2011-03-01,2011-04-11,779414,2,2010,1.6,6,1,9.28,1.5
218,2021-07-10,38,117,212,3.73,1,3,1,0,5,2016-12-01,2018-02-07,779421,3,2016,1.4,16,1,17.98,9.3
220,2021-04-17,8,163,214,4.84,3,3,1,3,7,2017-08-01,2018-02-01,779412,2,2018,1.4,16,1,19.48,13.14
221,2021-07-04,50,164,215,8.23,5,1,2,1,5,2009-08-01,2009-09-29,779415,3,2010,2,11,1,26.48,8.5
222,2021-04-21,8,16,216,9.53,5,3,2,0,5,2009-05-01,2009-06-04,779412,2,2008,1.6,3,1,13.08,2.49
224,2021-07-07,12,99,218,17.29,3,1,1,1,5,2016-08-01,2016-11-01,779415,2,2015,1.8,11,1,16.28,8.4
229,2021-06-23,7,166,223,9.81,2,3,1,1,5,2016-09-01,2016-11-15,779415,2,2016,2,11,1,18.68,10.67
232,2021-07-29,12,129,162,1.26,2,2,4,0,5,2019-10-01,2019-12-18,779415,2,2019,1,11,1,10.98,7
235,2021-06-30,11,168,228,6.15,3,1,2,0,4,2013-06-01,2013-09-25,779412,3,2012,1.4,16,1,24.98,7.1
239,2021-06-08,39,96,232,6.75,4,2,1,0,7,2017-12-01,2018-03-06,779413,1,2017,1.5,13,1,9.89,3.68
240,2021-06-10,12,71,233,9.43,5,3,2,0,5,2012-06-01,2012-07-13,779415,2,2012,1.8,22,1,13.98,5.48
243,2021-04-27,8,171,236,0.01,1,3,4,0,5,2020-03-01,2021-02-22,779412,2,2019,1.5,9,1,9.79,7.1
245,2021-06-29,33,119,238,4.15,5,2,1,0,5,2018-01-01,2018-06-25,779414,2,2018,1.6,3,1,12.77,6.2
248,2021-06-27,20,127,241,12.18,5,2,1,1,5,2014-10-01,2014-10-30,779412,2,2015,2,15,1,36.9,17.88
249,2021-05-17,8,14,242,5.27,1,3,1,0,5,2019-04-01,2019-05-28,779412,2,2018,1.4,16,1,16.38,9.98
253,2021-06-07,2,134,245,4.49,1,1,1,0,5,2018-09-01,2018-09-28,779415,2,,1.2,2,1,12.68,8.24
254,2021-07-18,8,177,246,0.34,7,5,1,0,5,2019-08-01,2019-09-06,779412,2,2019,1.4,16,1,18.58,11.65
257,2021-07-10,34,76,249,8.21,6,2,1,0,5,2016-09-01,2016-11-03,779413,1,2016,1.6,12,1,7.89,2.6
258,2021-05-20,23,55,63,3.88,1,3,1,0,5,2017-10-01,2017-11-10,779419,2,2016,1.6,3,1,11.98,6.98
260,2021-07-01,22,178,251,4.71,7,1,2,0,5,2012-06-01,2013-02-05,779413,1,2011,1.3,1,1,7.67,1.94
261,2021-04-09,2,10,252,8.68,1,1,2,0,5,2016-04-01,2016-05-11,779415,2,2014,1.5,4,1,8.78,5.14
264,2021-07-13,18,136,255,4.23,6,5,4,0,5,2018-11-01,2019-01-07,779412,2,2019,2,13,1,30.98,20.5
266,2021-04-14,5,67,257,7.82,1,3,2,0,5,2015-02-01,2015-05-12,779416,2,2015,2,3,1,17.89,7.52
267,2021-05-12,26,72,258,3.48,4,3,1,0,5,2016-09-01,2016-10-13,779413,1,2016,1.5,16,1,14.88,6.865
268,2021-04-20,50,180,259,5.54,1,1,2,0,5,2013-05-01,2013-07-04,779415,3,2013,2.5,5,1,29.78,10.7
275,2021-05-21,25,60,266,3.52,6,1,2,0,5,2016-09-01,2016-11-17,779413,1,2016,1.6,17,1,9.39,4.61
278,2021-06-18,9,111,269,2.76,6,2,1,0,5,2019-01-01,2019-04-18,779413,1,2018,1.5,7,1,11.3,7.78
279,2021-07-31,2,187,270,14.69,5,4,3,0,5,2009-04-01,2009-05-20,779415,2,2009,2.4,6,1,23.68,4.85
281,2021-05-19,18,33,272,15.18,1,1,1,0,5,2015-05-01,2015-06-01,779412,2,2015,2,13,1,34.98,15.2
282,2021-06-06,6,188,273,0.42,3,2,4,0,6,2019-12-01,2020-04-28,779413,1,2019,1.8,3,1,11.98,8.7
284,2021-06-30,40,105,275,14.6,5,1,3,0,5,2006-12-01,2007-01-15,779416,2,2006,3.5,21,1,39.5,2.99
285,2021-05-18,28,100,276,13.11,1,1,2,0,5,2014-12-01,2014-12-24,779419,2,2015,2,3,1,17.78,6.3
286,2021-05-27,8,11,277,5.27,6,1,2,1,5,2013-02-01,2013-03-14,779412,2,2013,1.8,16,1,23.98,8.85
288,2021-06-01,18,175,279,6.92,6,1,2,0,5,2013-03-01,2013-04-19,779412,2,2013,2,13,1,42.86,14.8
289,2021-05-14,53,189,280,13.97,1,3,2,0,5,2015-07-01,2015-11-26,779413,1,2014,2,3,1,11.98,3.14
294,2021-05-15,7,113,284,8.46,2,3,2,0,5,2014-04-01,2014-05-22,779415,2,2014,1.6,11,1,13.78,6.28
295,2021-07-10,28,192,285,1.18,1,2,4,0,5,2019-05-01,2020-01-21,779419,2,2019,1.4,3,1,7.98,6
297,2021-07-06,3,194,287,14.8,6,2,2,0,5,2011-05-01,2012-02-02,779416,2,2011,1.3,6,1,7.99,0.7
302,2021-06-30,7,113,284,7.66,5,3,2,0,5,2014-12-01,2015-09-18,779415,2,2014,1.6,11,1,13.78,4.92
303,2021-06-30,23,198,292,4.48,1,1,1,1,5,2016-03-01,2016-12-20,779419,2,2015,1.6,16,1,19.48,9
305,2021-05-16,3,140,181,5.67,1,2,1,0,5,2018-05-01,2018-08-07,779416,2,2017,1.5,3,1,10.78,5.9
307,2021-07-26,33,104,294,2.09,1,1,2,0,5,2015-07-01,2015-08-04,779414,2,2015,1.6,3,1,22.07,7.15
308,2021-04-11,25,122,295,18.4,2,3,2,0,5,2014-01-01,2014-04-10,779413,1,2014,1.4,6,1,5.59,1.3
312,2021-05-31,44,201,299,2.88,6,2,1,0,5,2018-03-01,2018-06-26,779416,2,2017,1.4,16,1,17.98,10.08
319,2021-07-28,18,175,306,4.37,5,1,1,0,5,2015-05-01,2015-08-07,779412,2,2014,2,13,1,49.96,26.5
320,2021-07-29,2,82,100,13.34,5,2,3,0,5,2009-02-01,2009-02-13,779415,2,2008,2.4,21,1,22.48,5.7
321,2021-07-19,13,18,307,6.37,1,2,2,1,5,2014-04-01,2015-02-19,779416,2,2015,1.4,16,1,14.99,4.9999
323,2021-06-30,56,206,309,8.66,9,3,2,0,5,2012-01-01,2012-06-08,779413,1,2009,3.2,6,3,6.78,0.42
324,2021-05-12,25,41,310,10.07,1,3,2,0,5,2015-04-01,2015-07-06,779413,1,2014,2,12,1,11.78,3.65
326,2021-06-24,23,156,222,5.68,1,2,1,1,5,2015-12-01,2016-03-10,779419,2,2014,1.4,4,1,8.69,4.1
327,2021-06-13,38,117,312,8.58,1,3,1,1,5,2016-04-01,2016-04-28,779421,3,2016,1.4,16,1,18.98,9.15
330,2021-06-07,20,209,315,3.67,1,3,2,0,5,2017-11-01,2018-02-07,779412,2,2017,1.6,7,1,27.18,17.88
331,2021-06-09,3,210,316,10.33,1,1,2,0,5,2012-12-01,2013-03-01,779416,2,2011,2,23,1,25.28,4.9
332,2021-06-23,2,82,317,4.53,1,3,1,0,5,2018-05-01,2018-07-20,779415,2,2018,2.5,13,1,21.98,18.2
333,2021-07-01,20,211,318,8.71,5,1,2,0,4,2015-03-01,2016-03-10,779412,3,2015,3,15,1,76.8,36.8
334,2021-07-08,5,67,80,2.04,1,1,1,0,5,2015-12-01,2016-01-29,779416,2,2015,1.6,3,1,18.99,8.95
335,2021-07-11,8,208,319,7.84,1,3,1,0,5,2016-04-01,2016-05-25,779412,2,2016,1.6,3,1,13.39,7.55
339,2021-06-27,5,159,323,5.66,1,2,1,1,5,2017-10-01,2017-12-29,779416,2,2018,1,23,1,12.69,4.9999
342,2021-07-26,11,63,326,2.94,1,2,1,0,5,2018-12-01,2019-01-25,779412,2,2019,2,7,1,33.58,23.18
344,2021-04-20,6,216,328,1.85,1,3,2,0,5,2018-05-01,2018-07-03,779413,1,2018,1.5,17,1,6.89,4.63
350,2021-06-01,12,92,332,6.2,1,3,1,0,5,2013-10-01,2013-12-02,779415,2,2014,2,11,1,20.68,11
351,2021-05-11,7,166,333,11.2,2,1,2,1,5,2009-07-01,2009-07-28,779415,2,2008,2.5,5,1,22.48,5.39
352,2021-06-28,20,118,334,6.57,2,1,1,0,5,2018-03-01,2018-07-31,779412,2,2018,2,19,1,39.6,28
353,2021-05-31,2,82,335,10.79,2,1,2,0,5,2009-05-01,2009-07-21,779415,2,2008,2.4,21,1,22.68,6.01
358,2021-06-26,3,137,176,11.49,1,2,2,0,5,2013-12-01,2014-05-30,779416,2,,1.6,10,1,14.39,4
360,2021-06-17,25,41,45,3.18,1,2,1,0,5,2015-11-01,2016-01-25,779413,1,2014,2,12,1,11.88,3.85
362,2021-07-24,11,63,342,6.01,1,2,1,0,5,2016-01-01,2016-06-14,779412,2,2016,2,2,1,31.28,15.8
364,2021-07-20,20,127,343,7.84,5,1,2,0,5,2012-04-01,2012-05-31,779412,2,2011,1.6,21,1,30.8,8.25
368,2021-07-13,5,90,347,0.75,3,3,4,0,5,2020-07-01,2020-11-30,,,2021,2,19,1,23.98,17.5
369,2021-07-25,12,224,348,1.87,2,2,4,0,7,2020-08-01,2020-09-21,779415,2,2019,2,25,2,30.98,26.6
371,2021-05-07,57,226,350,3.54,1,3,2,0,5,2014-06-01,2014-07-07,779413,1,2013,1.6,6,1,8.69,2.45
373,2021-05-13,25,41,352,1.34,1,3,2,0,5,2017-03-01,2017-05-03,779413,1,2016,1.8,3,1,12.98,6.8
379,2021-05-25,8,14,358,8.67,1,3,2,1,5,2012-08-01,2012-10-29,779412,2,2012,1.6,3,1,15.08,5.3
381,2021-04-29,13,18,360,9.88,1,1,2,1,5,2013-11-01,2013-11-22,779416,2,2013,1.6,6,1,11.99,2.39
382,2021-06-12,52,231,361,3.18,6,1,1,0,5,2017-12-01,2018-01-08,779413,1,2017,1.8,23,1,12.98,5.54
384,2021-06-22,9,151,363,4.11,1,2,1,0,5,2015-12-01,2016-02-22,,,2016,1.5,6,1,6.39,2.08
386,2021-05-26,52,233,365,4.17,2,3,1,0,7,2016-03-01,2016-10-09,779413,1,2016,1.5,6,1,8.09,2.75
387,2021-07-11,33,120,366,10.25,1,2,1,0,5,2016-01-01,2016-03-03,779414,2,2015,1.2,3,1,15.17,5.8
390,2021-06-06,57,214,369,3.93,5,1,2,0,5,2018-12-01,2019-03-18,779413,1,2018,1.5,6,1,5.59,4.15
392,2021-07-04,25,235,371,5.62,4,2,1,0,5,2016-10-01,2017-02-08,779413,1,2016,1.5,6,1,5.99,2.4
395,2021-06-05,2,236,374,2.38,1,1,2,0,5,2019-04-01,2019-04-18,779415,2,2017,1.5,11,1,8.58,6.19
396,2021-05-06,3,194,375,8.77,5,1,2,2,5,2010-10-01,2010-11-17,779416,2,2010,1.5,17,1,10.39,2
397,2021-06-19,12,92,196,2.09,1,3,4,0,5,2019-08-01,2019-09-19,779415,2,2018,1.5,11,1,18.98,16.25
401,2021-07-28,12,240,379,15.95,4,5,2,1,5,2009-10-01,2009-12-08,779415,2,2008,1.5,22,1,11.68,3.03
402,2021-07-08,3,137,380,10.2,4,4,2,3,5,2012-07-01,2012-08-23,779416,2,2012,1.6,6,1,13.29,2
404,2021-07-16,9,241,382,1.81,1,3,1,0,5,2018-02-01,2018-10-15,779413,1,2018,1.5,7,1,12.1,7.8
406,2021-07-24,12,21,384,0.81,1,1,1,0,5,2019-04-01,2019-06-17,779415,2,2018,1.5,11,1,8.58,7.3
407,2021-07-24,62,242,385,7.2,2,5,2,0,5,2014-01-01,2014-04-30,779413,1,2012,1.6,6,1,8.98,1.3
410,2021-06-26,18,243,388,10.76,2,1,5,2,5,2005-01-01,2006-09-03,,,2006,3,21,1,82.2,5.2
413,2021-07-30,34,245,391,9.71,4,2,1,0,5,2015-03-01,2015-05-28,779413,1,2015,1.5,11,1,9.98,2.98
415,2021-07-29,2,82,317,4.07,5,2,1,0,5,2018-12-01,2019-03-07,779415,2,2018,2.5,13,1,21.98,18.3
416,2021-05-17,63,246,393,15.89,1,2,2,0,5,2012-12-01,2013-01-17,779413,1,2013,2.2,21,1,27.48,2.1
419,2021-04-16,12,71,86,6.47,1,3,1,1,5,2017-01-01,2017-01-18,779415,2,2016,1.5,11,1,13.99,10.85
421,2021-06-30,12,237,397,3.23,1,3,2,0,5,2014-07-01,2014-08-26,779415,2,2013,1.8,22,1,14.98,8.2
422,2021-06-25,7,166,398,8,1,1,1,1,5,2016-08-01,2016-11-09,779415,2,2016,2,11,1,18.58,10.5
426,2021-04-01,23,68,402,9.97,5,1,2,0,5,2010-03-01,2010-04-01,779419,2,2010,1.6,6,1,9.9799,2.07
427,2021-07-04,44,249,403,2.28,2,1,1,1,5,2016-05-01,2016-06-23,779416,2,2016,2.4,19,1,25.98,10.65
429,2021-07-25,65,251,405,3.46,4,5,1,0,5,2014-12-01,2015-06-08,,,2015,1.5,6,1,6.69,1
430,2021-05-16,6,20,406,3.58,1,3,1,0,5,2018-09-01,2018-11-01,779413,1,2018,1.4,10,1,10.98,6.78
433,2021-05-26,5,148,409,4.94,1,3,1,1,5,2014-09-01,2014-12-22,779416,2,2015,1.4,3,1,16.89,5.88
434,2021-06-10,8,14,410,4.31,1,3,1,0,5,2018-09-01,2018-09-28,779412,2,2018,1.6,6,1,13.58,7.8
435,2021-06-08,8,108,411,3.22,1,5,1,0,5,2018-09-01,2019-06-11,779412,2,,2,7,1,25.98,15
437,2021-07-10,18,33,413,14,1,2,3,2,5,2008-07-01,2008-10-07,779412,2,2008,2,3,1,30.9,3.68
438,2021-07-17,23,252,414,3.47,5,3,1,0,5,2019-10-01,2019-12-04,779419,2,2019,1.6,16,1,14.99,9.72
443,2021-07-29,2,2,419,16.42,5,5,3,0,5,2007-10-01,2007-11-19,779415,2,2007,1.8,4,1,15.48,2.4
447,2021-04-07,8,135,423,3.52,1,1,1,0,5,2016-03-01,2016-04-20,779412,2,2016,1.4,6,1,7.59,4.5
448,2021-07-04,2,82,424,2.46,2,1,1,0,5,2016-12-01,2017-01-23,779415,2,2016,2,3,1,19.58,14.04
450,2021-07-13,8,11,426,11.94,2,1,1,1,5,2016-03-01,2016-06-06,779412,2,2016,1.8,7,1,24.39,12
452,2021-05-28,66,256,428,10,2,3,1,0,5,2018-04-01,2018-05-28,779416,2,2018,2,3,1,29.99,17.6
456,2021-04-26,8,258,430,5.72,1,3,1,0,5,2018-06-01,2018-09-29,779412,2,2018,1.4,16,1,14.59,8.7
457,2021-07-27,12,71,431,2.48,1,5,4,0,5,2019-07-01,2019-08-23,779415,2,,1.5,11,1,14.59,12
